Alterno;Nombre;P Normal;Marca;Categoria;Unidades Vendidas;Valor Total;Valor Promedio;fecha de compra;Precio 2;Pagar
359842 20;T.P ROMA BASIC SUMMER INF 359842 20 # 5C;990.00;PUMA;ZAPATO;10;8,706.00;870.60;10/5/2019;L790.00;ESTA BUENO
BA5775-013;NIKE. MOCHILA NK AIRMAX BK/PK BA5775-013;1,190.00;NIKE;ACCESORIOS;10;10,905.00;1,090.50;22/2/2019;L1,100.00;
BW-2550-B;BODY SCULTURE FITNESS BELT BW-2550-B;390.00;BODY SCULPTURE;ACCESORIOS;10;3,582.50;358.25;4/3/2019;L350.00;
8-08841B076;CHAPELETAS NATACIÓN SPEEDO  GY/GRN 8-08841B076 5/6;1,190.00;SPEEDO;ACCESORIOS;10;9,472.00;947.20;5/3/2019;L990.00;
AO0266-005;T. NIKE AIR MAX MOTION 2 BLK/RED AO0266-005 # 7;2,990.00;NIKE;ZAPATO;10;27,728.50;2,772.85;16/4/2019;L2,790.00;COBRAR
369401 01;SANDALIA PUMA EPCI BLACK 369401 01 # 11;650.00;PUMA;SANDALIAS;10;5,675.00;567.50;30/1/2019;L590.00;
AR7419-001;T.N. AIR MAX RAITO BG BLK/BLU AR7419-001 # 3.5;1,990.00;NIKE;ZAPATO;10;19,048.00;1,904.80;16/4/2019;L1,890.00;ESTA BUENO
RWS1-201AM SILVER;Z KENNETH HARLOW RWS1-201AM SILVER # 6;1,790.00;KENNETH COLE;ZAPATO;10;9,676.00;967.60;4/12/2018;L1,590.00;
192257 02;T.P FLYER RUNNER BLACK 192257 02 # 7;1,790.00;PUMA;ZAPATO;10;16,514.55;1,651.46;30/1/2019;L1,590.00;
BK-138-B;BODY SCULTURE SKIP ROPE BK-138-B;290.00;BODY SCULPTURE;ACCESORIOS;10;2,777.00;277.70;4/3/2019;L250.00;
KK160570;T.KEDS ACE 3V TRIPLE METALLC WH KK160570 # 12.5C;1,490.00;KEDS;ZAPATO;10;6,100.00;610.00;20/8/2018;L1,350.00;
831954-002;T.N. MERCURIAL VORTEX III BLK/WHT 831954-002 #10.5;1,390.00;NIKE;ZAPATO;10;12,754.80;1,275.48;28/11/2018;L1,290.00;
11016-22Y;SANDALIA CROCS BROWN/BEIGE 11016-22Y # 8;1,450.00;CROCS;SANDALIAS;10;13,885.00;1,388.50;2/3/2019;L1,390.00;
AJ8799-601;T. NIKE ASHIN MODERN ROSE/GLD AJ8799-601 # 9.5;2,590.00;NIKE;ZAPATO;10;23,813.50;2,381.35;16/4/2019;L2,390.00;COBRAR
WF58391;T.K. CH MATTE METALLIC SILVER WF58391 # 5.5;1,390.00;KEDS;ZAPATO;10;7,510.00;751.00;30/11/2018;L1,290.00;
BP-207-H;ARN WALLET BLACK BP-207-H;350.00;BODY;ACCESORIOS;10;3,329.00;332.90;4/3/2019;L290.00;
AV6720-011;GORRA U NSW CLC99 CAP FUT SNAPBACK AV6720-011 ;690.00;NIKE;ACCESORIOS;10;6,220.50;622.05;24/1/2019;L590.00;
314193 117;T.N AIR FORCE 1 WHITE 314193 117 # 1Y;1,490.00;NIKE;ZAPATO;10;13,689.00;1,368.90;24/1/2019;L1,390.00;
